customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
7590-VHVEG,Female,True,False,False,,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,False
5575-GNVDE,Male,False,False,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,1889.5,False
3668-QPYBK,Male,False,False,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,108.1500015258789,True
7795-CFOCW,Male,False,False,False,,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),1840.75,False
9237-HQITU,Female,False,False,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,151.64999389648438,True
9305-CDSKC,Female,False,False,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,820.5,True
1452-KIOVK,Male,False,True,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),1949.4000244140625,False
6713-OKOMC,Female,False,False,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,301.8999938964844,False
7892-POOKP,Female,True,False,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,3046.050048828125,True
6388-TABGU,Male,False,True,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),3487.949951171875,False
9763-GRSKD,Male,True,True,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,587.4500122070312,False
7469-LKBCI,Male,False,False,True,False,No,,,,,,,Two year,False,Credit card (automatic),326.79998779296875,False
8091-TTVAX,Male,True,False,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),5681.10009765625,False
0280-XJGEX,Male,False,False,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),5036.2998046875,True
5129-JLPIS,Male,False,False,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,2686.050048828125,False
3655-SNQYZ,Female,True,True,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),7895.14990234375,False
8191-XWSZG,Female,False,False,True,False,No,,,,,,,One year,False,Mailed check,1022.9500122070312,False
9959-WOFKT,Male,False,True,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),7382.25,False
4190-MFLUW,Female,True,True,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),528.3499755859375,True
4183-MYFRB,Female,False,False,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,1862.9000244140625,False
8779-QRDMV,Male,False,False,False,,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.650001525878906,True
1680-VDCWW,Male,True,False,True,False,No,,,,,,,One year,False,Bank transfer (automatic),202.25,False
1066-JKSGK,Male,False,False,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.149999618530273,True
3638-WEABW,Female,True,False,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),3505.10009765625,False
6322-HRPFA,Male,True,True,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),2970.300048828125,False
6865-JZNKO,Female,False,False,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),1530.5999755859375,False
6467-CHFZW,Male,True,True,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,4749.14990234375,True
8665-UTDHZ,Male,True,True,False,,DSL,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.200000762939453,True
5248-YGIJN,Male,True,False,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),6369.4501953125,False
8773-HHUOZ,Female,False,True,True,False,DSL,False,False,False,False,True,True,Month-to-month,True,Mailed check,1093.0999755859375,True
3841-NFECX,Female,True,False,True,True,Fiber optic,True,True,True,True,False,False,Two year,True,Credit card (automatic),6766.9501953125,False
4929-XIHVW,Male,True,False,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Credit card (automatic),181.64999389648438,False
6827-IEAUQ,Female,True,True,True,False,DSL,True,True,True,True,False,False,One year,False,Mailed check,1874.449951171875,False
7310-EGVHZ,Male,False,False,True,False,No,,,,,,,Month-to-month,False,Bank transfer (automatic),20.200000762939453,False
3413-BMNZE,Male,False,False,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),45.25,False
6234-RAAPL,Female,True,True,True,True,Fiber optic,True,True,False,True,True,False,Two year,False,Bank transfer (automatic),7251.7001953125,False
6047-YHPVI,Male,False,False,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,316.8999938964844,True
6572-ADKRS,Female,False,False,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Credit card (automatic),3548.300048828125,False
5380-WJKOV,Male,False,False,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,3549.25,True
8168-UQWWF,Female,False,False,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),1105.4000244140625,True
8865-TNMNX,Male,True,True,True,False,DSL,False,True,False,False,False,False,One year,False,Mailed check,475.70001220703125,False
9489-DEDVP,Female,True,True,True,True,DSL,True,True,False,False,True,False,Two year,True,Credit card (automatic),4872.35009765625,False
9867-JCZSP,Female,True,True,True,False,No,,,,,,,One year,False,Mailed check,418.25,False
4671-VJLCL,Female,False,False,True,True,DSL,True,True,True,True,True,False,Two year,True,Credit card (automatic),4861.4501953125,False
4080-IIARD,Female,True,False,True,True,DSL,True,True,False,True,True,False,Month-to-month,True,Electronic check,981.4500122070312,False
3714-NTNFO,Female,False,False,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,3906.699951171875,False
5948-UJZLF,Male,False,False,True,False,DSL,False,True,False,False,False,False,Month-to-month,False,Mailed check,97.0,False
7760-OYPDY,Female,False,False,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,144.14999389648438,True
7639-LIAYI,Male,False,False,True,True,DSL,True,False,False,True,True,True,Two year,True,Credit card (automatic),4217.7998046875,False
2954-PIBKO,Female,True,True,True,True,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),4254.10009765625,False
8012-SOUDQ,Female,False,False,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Electronic check,3838.75,False
9420-LOJKX,Female,False,False,True,False,Fiber optic,True,True,False,False,True,True,Month-to-month,True,Credit card (automatic),1426.4000244140625,True
6575-SUVOI,Female,True,False,True,True,DSL,True,False,False,True,True,False,Month-to-month,True,Credit card (automatic),1752.6500244140625,False
7495-OOKFY,Female,True,False,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Credit card (automatic),633.2999877929688,True
4667-QONEA,Female,True,True,True,False,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),4456.35009765625,False
1658-BYGOY,Male,False,False,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,1752.550048828125,True
8769-KKTPH,Female,True,True,True,True,Fiber optic,True,False,False,False,True,True,One year,True,Credit card (automatic),6311.2001953125,False
5067-XJQFU,Male,True,True,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Electronic check,7076.35009765625,False
3957-SQXML,Female,True,True,True,True,No,,,,,,,Two year,False,Credit card (automatic),894.2999877929688,False
5954-BDFSG,Female,False,False,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Credit card (automatic),7853.7001953125,False
0434-CSFON,Female,True,False,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,4707.10009765625,False
1215-FIGMP,Male,False,False,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),5450.7001953125,False
0526-SXDJP,Male,True,False,False,,DSL,True,True,True,False,False,False,Two year,False,Bank transfer (automatic),2962.0,False
0557-ASKVU,Female,True,True,True,False,DSL,False,False,True,True,False,False,One year,True,Credit card (automatic),957.0999755859375,False
5698-BQJOH,Female,False,False,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,False,Electronic check,857.25,True
5122-CYFXA,Female,False,False,True,False,DSL,False,True,False,True,True,True,Month-to-month,True,Electronic check,244.10000610351562,False
8627-ZYGSZ,Male,True,False,True,True,Fiber optic,False,True,False,False,False,False,One year,True,Electronic check,3650.35009765625,False
3410-YOQBQ,Female,False,False,True,False,DSL,False,True,True,True,True,True,Two year,False,Mailed check,2497.199951171875,False
3170-NMYVV,Female,True,True,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),930.9000244140625,False
7410-OIEDU,Male,False,False,True,False,Fiber optic,True,False,True,False,False,False,Month-to-month,True,Mailed check,887.3499755859375,False
2273-QCKXA,Male,False,False,True,False,DSL,False,False,False,True,False,False,Month-to-month,False,Mailed check,49.04999923706055,False
0731-EBJQB,Female,True,True,True,False,No,,,,,,,One year,True,Electronic check,1090.6500244140625,False
1891-QRQSA,Male,True,True,True,True,Fiber optic,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),7099.0,False
8028-PNXHQ,Male,True,True,True,True,No,,,,,,,Two year,True,Bank transfer (automatic),1424.5999755859375,False
5630-AHZIL,Female,False,True,True,False,DSL,True,False,False,True,False,True,Month-to-month,True,Bank transfer (automatic),177.39999389648438,False
2673-CXQEU,Female,False,False,True,True,Fiber optic,True,True,True,False,True,True,One year,False,Electronic check,6139.5,False
6416-JNVRK,Female,False,False,True,False,DSL,False,False,False,False,False,True,One year,False,Credit card (automatic),2688.85009765625,False
