SeniorCitizen,tenure,MonthlyCharges
0,12,84.45
0,9,20.4
0,27,81.7
0,27,79.5
0,1,89.15
1,24,20.3
1,14,74.95
1,32,74.4
0,11,20.0
0,1,25.0
1,38,80.45
0,9,19.75
0,54,65.65
0,29,71.0
1,44,89.2
0,59,86.75
0,3,55.3
0,18,61.5
1,67,25.1
0,22,55.15
0,33,34.05
0,5,19.95
0,2,19.95
0,72,89.7
0,9,20.4
0,67,26.3
0,16,84.95
0,8,20.7
0,5,43.25
0,23,48.35
0,1,79.55
1,50,71.05
0,17,19.45
0,68,110.8
0,1,84.5
1,25,69.3
0,67,49.35
0,32,20.35
1,67,105.6
1,72,64.45
0,71,108.6
0,1,49.9
0,46,30.3
1,2,30.4
0,1,45.4
0,48,65.65
0,61,103.3
0,32,84.15
0,2,44.45
0,3,19.75
0,5,85.4
0,71,89.9
0,37,55.05
0,65,104.1
0,67,106.6
0,49,75.2
0,50,70.5
0,25,19.6
0,17,55.85
0,64,24.05
0,25,38.1
1,23,106.4
1,24,34.25
0,37,100.05
0,21,68.65
0,1,45.8
0,10,75.75
0,6,84.4
0,51,96.4
0,10,20.55
0,6,50.95
0,47,90.5
0,61,79.4
0,52,58.75
0,35,59.45
0,71,105.7
0,6,56.25
0,45,53.3
1,2,85.55
0,4,68.65
0,2,24.3
0,4,77.85
0,51,59.9
0,60,23.95
0,9,20.15
0,3,105.35
0,17,95.65
0,8,87.05
0,46,81.0
0,68,82.45
0,1,53.5
0,4,20.5
0,1,25.1
0,28,54.4
0,39,58.6
0,11,84.8
0,71,61.4
0,2,20.4
1,30,79.65
0,17,20.15
0,55,94.45
0,58,79.8
0,5,54.2
1,1,19.45
1,9,74.05
0,26,49.15
0,50,19.4
0,72,113.65
0,43,106.0
0,56,25.95
0,1,19.1
0,72,103.4
0,72,100.55
0,36,95.4
0,5,75.15
0,13,84.45
1,44,89.15
1,70,107.9
0,44,19.5
1,32,85.95
0,69,24.95
1,16,59.4
1,68,19.5
0,16,69.95
0,68,82.85
0,4,19.0
0,26,38.85
0,29,30.6
0,5,20.35
0,70,95.0
0,24,74.4
1,72,78.45
0,1,74.3
0,70,51.05
0,36,19.2
1,38,99.55
0,17,70.0
0,41,109.1
0,1,45.3
0,2,29.85
0,14,76.45
1,2,95.1
0,1,19.8
0,13,72.8
0,6,18.95
0,4,76.65
0,5,99.15
0,15,101.75
0,47,75.45
0,8,64.1
0,17,25.65
0,15,75.1
0,26,95.85
0,23,54.4
1,4,72.75
0,29,19.85
0,25,19.05
0,9,44.95
0,18,49.55
1,3,94.85
0,69,46.25
0,14,19.35
0,19,69.6
1,39,90.7
0,31,101.4
0,24,20.25
0,14,48.8
0,64,74.35
0,50,19.35
0,52,68.75
0,28,100.2
0,21,20.85
0,25,95.9
0,17,19.35
0,58,45.0
1,17,81.5
0,51,25.5
0,72,48.9
0,52,84.1
0,27,19.6
0,3,20.0
0,64,81.3
0,45,95.2
1,3,36.45
0,71,83.3
1,1,25.05
0,58,20.3
0,34,89.85
0,8,49.85
0,15,19.8
0,66,54.65
1,12,29.35
0,58,19.15
0,3,19.1
1,43,55.55
0,9,80.55
0,3,20.25
0,22,69.5
0,40,106.0
0,68,25.5
0,54,104.3
0,50,79.6
0,1,55.25
0,72,88.05
0,40,20.4
0,72,117.6
0,6,20.0
0,5,19.65
0,48,70.55
0,1,93.85
0,64,65.8
0,17,20.05
0,40,80.0
0,41,35.4
1,51,79.6
0,41,80.25
0,1,50.45
0,2,20.45
0,68,79.6
0,24,24.7
0,70,77.3
0,3,29.75
0,2,44.9
0,3,29.8
0,7,74.65
0,13,71.95
0,7,20.75
0,12,56.3
0,53,105.25
0,12,94.2
0,63,19.55
0,15,84.45
0,36,53.65
1,4,29.9
0,24,19.7
0,61,43.7
0,16,55.3
0,65,19.85
0,26,19.65
0,16,49.45
0,54,106.55
0,1,20.1
0,5,20.45
0,19,39.7
0,10,54.5
0,23,83.8
0,3,55.15
0,72,111.6
1,10,86.65
0,10,55.55
0,11,20.55
1,37,106.75
0,17,62.1
0,36,104.5
1,17,101.8
1,66,110.6
0,61,84.9
0,22,93.2
0,1,24.4
0,6,70.55
0,31,78.45
0,68,85.0
0,34,87.45
0,52,85.8
0,10,91.1
0,29,70.75
0,72,20.1
0,47,20.05
0,24,74.8
0,65,24.8
0,4,100.85
1,12,101.35
0,1,81.7
0,33,68.25
0,34,105.1
0,14,20.4
0,4,79.15
0,13,20.0
0,65,79.4
0,23,57.2
0,55,58.6
0,49,94.8
0,60,102.5
0,69,20.35
0,40,84.9
0,67,69.2
1,35,95.45
0,19,100.95
0,13,20.85
0,41,88.5
0,4,35.0
0,24,55.15
0,5,50.95
0,5,64.0
0,1,69.1
0,72,80.2
0,24,49.3
0,42,84.35
0,4,20.05
0,68,117.2
0,33,20.1
1,1,69.6
0,31,103.45
0,4,77.95
1,69,109.95
1,38,94.75
0,3,80.0
0,48,79.65
0,15,25.2
0,25,19.9
1,1,78.45
0,48,44.8
0,1,20.3
0,1,19.2
0,37,80.05
1,66,107.35
0,26,47.85
0,63,70.8
0,10,29.5
0,2,70.75
1,18,59.1
0,64,25.55
1,9,84.45
0,28,20.25
0,1,75.55
0,4,85.65
1,38,70.15
0,66,95.3
0,1,70.25
0,18,50.3
1,51,97.8
0,0,19.85
0,1,46.3
0,12,19.35
0,41,106.3
0,12,25.0
0,55,20.3
0,7,75.35
0,12,89.4
0,68,88.0
1,5,83.15
1,49,43.8
0,40,62.05
0,16,20.1
0,10,74.15
0,72,101.35
1,2,84.05
0,23,20.9
1,71,105.9
0,11,99.5
0,1,44.15
0,16,53.9
0,1,85.45
0,12,85.05
0,54,44.1
0,68,90.2
0,4,50.85
0,1,59.2
0,27,53.45
0,21,19.95
0,13,83.2
1,64,74.65
0,1,54.9
0,57,57.5
0,21,103.9
0,19,19.65
0,31,93.8
0,52,89.25
0,46,94.15
1,11,55.6
0,53,48.7
0,11,19.25
1,57,104.9
1,2,75.45
1,2,54.85
0,71,19.9
0,1,19.4
0,68,25.05
0,72,84.45
0,2,19.3
1,1,95.1
0,41,79.85
0,72,25.55
0,6,75.5
0,4,73.75
0,12,96.05
0,58,68.4
0,7,20.65
0,65,55.15
0,1,70.6
0,56,19.95
0,4,19.0
0,58,44.1
0,62,107.6
0,26,61.55
0,62,90.7
0,58,99.25
0,68,91.7
0,61,100.7
0,42,78.45
0,18,84.3
0,56,19.55
0,4,88.95
0,4,20.45
0,35,55.6
0,64,86.8
